,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000104133,0,2,0,0,0,0,0,0
ENSMUSG00000042686,50,45,71,83,57,56,83,73
ENSMUSG00000100110,3,4,0,1,2,4,0,0
ENSMUSG00000025777,9,6,0,15,15,5,10,1
ENSMUSG00000099899,5,4,0,0,1,1,0,1
ENSMUSG00000100272,0,5,0,0,3,0,0,0
ENSMUSG00000100398,1,2,0,0,0,3,0,1
ENSMUSG00000101589,63,41,187,143,103,84,177,206
ENSMUSG00000102048,0,0,4,0,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0,0,0
ENSMUSG00000067780,384,138,866,729,478,545,929,541
ENSMUSG00000100053,3,7,0,10,13,2,1,10
ENSMUSG00000085125,10,4,3,7,6,19,0,3
ENSMUSG00000025776,19,27,34,16,13,18,20,30
ENSMUSG00000099895,0,1,0,3,0,2,0,1
ENSMUSG00000100554,0,0,0,1,0,1,0,6
ENSMUSG00000099473,0,0,0,0,0,0,0,0
ENSMUSG00000099591,10,0,0,2,3,6,6,0
ENSMUSG00000109887,9,4,0,3,0,2,0,7
ENSMUSG00000102001,0,0,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,1,0,0,0,0
ENSMUSG00000025774,4,9,0,5,7,1,1,0
ENSMUSG00000070977,0,3,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0,0,0
ENSMUSG00000067773,2,0,0,1,0,0,0,0
ENSMUSG00000101685,1,1,0,3,4,2,0,0
ENSMUSG00000101738,0,0,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,1,0,0,0,0
ENSMUSG00000088800,0,1,0,0,0,0,0,0
ENSMUSG00000101644,4,2,0,4,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0,0,0
ENSMUSG00000089787,0,2,0,0,1,0,0,2
ENSMUSG00000042596,8,10,0,11,2,4,14,3
ENSMUSG00000100720,3,9,1,6,3,1,0,9
ENSMUSG00000025927,18,23,0,11,14,7,2,5
ENSMUSG00000100538,1,5,0,0,3,3,0,1
ENSMUSG00000101117,4,0,0,4,0,1,0,0
ENSMUSG00000100204,4,8,0,10,2,2,0,4
ENSMUSG00000084668,0,0,0,1,0,0,0,0
ENSMUSG00000102597,0,3,0,2,1,0,1,0
ENSMUSG00000043760,37,52,0,33,23,34,3,30
ENSMUSG00000104095,4,4,0,7,5,4,6,2
ENSMUSG00000089914,2,0,0,6,0,3,0,1
ENSMUSG00000090142,0,0,0,1,1,0,0,0
ENSMUSG00000070175,0,0,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0,0,0
ENSMUSG00000099906,0,5,0,2,1,5,5,0
ENSMUSG00000065480,0,0,0,0,0,0,0,0
ENSMUSG00000025929,3,0,0,4,1,0,0,0
ENSMUSG00000041872,14,12,0,16,3,5,1,6
ENSMUSG00000041859,30,49,91,49,67,90,93,88
ENSMUSG00000099714,2,10,0,9,1,18,0,3
ENSMUSG00000102121,2,2,0,2,0,5,0,0
ENSMUSG00000088858,2,3,0,6,0,2,0,8
ENSMUSG00000097934,0,0,4,2,0,4,8,5
ENSMUSG00000025931,233,183,389,155,178,198,215,428
ENSMUSG00000077314,8,3,3,0,2,7,2,1
ENSMUSG00000100929,17,6,7,9,2,5,11,24
ENSMUSG00000041809,21,20,41,29,32,37,14,40
ENSMUSG00000041779,289,330,675,466,366,419,606,658
ENSMUSG00000099971,2,2,0,0,0,3,2,3
ENSMUSG00000100819,8,3,7,4,7,7,8,2
ENSMUSG00000025933,14,12,4,0,13,16,1,2
ENSMUSG00000102633,5,0,2,2,8,9,2,4
ENSMUSG00000025934,17,16,5,9,7,6,9,5
ENSMUSG00000099343,3,3,0,0,5,2,3,1
ENSMUSG00000096375,6,0,0,2,0,0,0,0
ENSMUSG00000025936,2,4,0,2,1,2,0,5
ENSMUSG00000093963,1,4,0,5,0,1,0,2
ENSMUSG00000067750,1,1,0,3,3,3,1,0
ENSMUSG00000086194,1,0,0,1,0,0,0,0
ENSMUSG00000094436,0,2,0,0,0,0,1,0
ENSMUSG00000041722,5,0,0,2,0,2,0,0
ENSMUSG00000085507,0,2,0,0,0,0,0,0
ENSMUSG00000094926,5,0,0,0,0,2,0,0
ENSMUSG00000085079,5,0,0,4,2,0,0,1
ENSMUSG00000085679,0,0,0,0,2,0,0,0
ENSMUSG00000028033,14,11,0,8,6,18,12,12
ENSMUSG00000104138,10,2,0,2,0,1,0,5
ENSMUSG00000082935,1,1,0,5,6,8,1,1
ENSMUSG00000103748,0,2,0,2,0,3,0,1
ENSMUSG00000097109,3,2,0,6,5,6,0,1
ENSMUSG00000099692,1,1,0,2,2,1,0,0
ENSMUSG00000100418,2,3,0,1,0,3,0,0
ENSMUSG00000041670,27,23,11,27,5,26,2,8
ENSMUSG00000097642,0,2,0,4,2,1,0,0
ENSMUSG00000101468,3,3,0,4,2,0,0,0
ENSMUSG00000101227,4,2,0,2,0,0,2,3
ENSMUSG00000073730,5,2,0,11,0,1,0,0
ENSMUSG00000089553,0,0,0,2,0,2,0,0
ENSMUSG00000102766,1,4,5,5,2,5,3,0
ENSMUSG00000065405,1,12,15,1,4,5,2,1
ENSMUSG00000097970,13,8,20,12,28,25,24,25
ENSMUSG00000065567,0,0,0,0,0,0,0,0
ENSMUSG00000100775,0,9,3,3,3,5,0,7
ENSMUSG00000101226,2,0,0,0,0,2,0,0
ENSMUSG00000026158,49,41,67,65,53,93,86,50
ENSMUSG00000097920,0,0,0,4,0,1,0,0
