,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000104518,0,0,0,0,0,0,0,0
ENSMUSG00000069620,6.23,0,0,0,2.09,3.44,0,0
ENSMUSG00000099498,1.74,3.33,0,0,7,0.96,0,0
ENSMUSG00000042414,1.17,0.19,0.44,1.55,0.39,1.19,0,1.36
ENSMUSG00000005886,18.23,19.88,25.56,16.75,19.31,19.3,15.63,20.51
ENSMUSG00000103506,6.88,4.68,5.62,1.47,4.62,2.21,0.71,5.1
ENSMUSG00000103495,5.84,4.42,9.51,7.54,12.61,7.47,4.95,10.19
ENSMUSG00000099183,0,0,0,0,0,3.37,0,3.26
ENSMUSG00000102639,6.48,3.45,6.88,4.77,3.38,3.97,5.96,2.69
ENSMUSG00000104170,6.95,3.84,10.06,4.42,11.49,5.9,6.27,8
ENSMUSG00000087782,49.13,0,20.08,0,21,14.8,30.81,7.16
ENSMUSG00000103085,7.11,5.78,7.63,5.5,9.63,5.3,4.01,5.82
ENSMUSG00000102664,8.46,7.89,7.38,8.11,11.66,8.48,4.71,7.97
ENSMUSG00000101476,1.47,2.81,1.65,0.49,2.47,0.41,1.69,0
ENSMUSG00000101171,0,0.74,0,0,0.52,0.43,0,0
ENSMUSG00000025935,37.02,44.55,46.33,44.43,40.91,38.87,43.15,40.24
ENSMUSG00000025937,8.76,5.25,15.02,8.56,8.83,11.01,8.77,5.44
ENSMUSG00000102982,2.37,5.3,1.55,3.14,5.04,1.75,0.55,0.84
ENSMUSG00000067813,0.52,0.5,0,0.34,0.35,0.14,0,0.14
ENSMUSG00000077368,0,7.31,0,0,2.57,0,0,0
ENSMUSG00000097711,1,3.36,0,0.33,0.34,0.83,0,0.8
ENSMUSG00000102166,0.22,0.43,0,0.15,0.3,0.37,0,0
ENSMUSG00000089358,4.87,0,0,2.15,1.09,0.9,0,1.74
ENSMUSG00000104209,0.42,1.2,0,0.46,0.28,0.38,0,0.37
ENSMUSG00000025932,17.87,15.03,26.61,27.24,25.99,21.62,18.77,19.31
ENSMUSG00000095853,0,0,0,0,0,0,4.6,0
ENSMUSG00000102588,3.42,3.27,16.01,6.79,8.42,5.03,8.91,4.26
ENSMUSG00000054493,4.91,4.97,10.01,3.99,5.56,4.49,4.77,6.67
ENSMUSG00000025930,33.4,51.37,63.94,20.43,27.19,22.13,26.12,51.76
ENSMUSG00000103492,1.62,1.66,1.82,0.31,1.24,1.09,0.64,2.66
ENSMUSG00000081201,0,3.33,0,2.3,0,0,0,0
ENSMUSG00000082193,2.24,2.14,0,1.48,1.5,0.93,0.77,1.2
ENSMUSG00000032769,2.82,1.57,1.71,2.02,2.21,2.85,3.24,1.94
ENSMUSG00000088159,0,0,0,2.76,0,0,0,0
ENSMUSG00000073737,0,1.92,0,0,0,0,0.23,0
ENSMUSG00000092083,0.89,0.57,0.06,0.42,0.33,0.36,0.08,0.3
ENSMUSG00000102937,0,0,0,0.65,1.1,0,0.45,0.52
ENSMUSG00000104149,0.72,0.69,0,0.48,0,0,0,0
ENSMUSG00000088829,0,4.28,0,0,0,4.93,0,9.55
ENSMUSG00000077377,0,7.26,0,5.02,7.64,6.28,0,2.03
ENSMUSG00000101652,1.99,7.64,0,0,0,0,5.5,0
ENSMUSG00000100814,10,0,0,0,0,0,0,0
ENSMUSG00000025925,8.68,14.14,19.28,8.41,11.74,8.87,5.94,11.66
ENSMUSG00000104379,2.84,1.66,0.89,1.36,2.23,0.78,0.44,1.52
ENSMUSG00000032719,0,0.87,0,0.72,0,0.6,0,0
ENSMUSG00000088943,0,0,0,0,0,0,0,0
ENSMUSG00000100652,3.62,1.73,0,0,1.82,0,0,0
ENSMUSG00000067795,0.24,0.93,0.41,0,0.98,0.27,0,0.91
ENSMUSG00000043716,133.66,113.58,140.94,107.76,102.92,126.96,110.45,115.6
ENSMUSG00000025921,16.11,15.43,24.94,22.62,23.67,18.99,17.86,16.96
ENSMUSG00000104165,0.22,1.24,0,0,0.14,0.6,0.69,0.46
ENSMUSG00000100868,1.98,0.32,0.19,0,0,0,0,0
ENSMUSG00000025920,3.78,3.2,5.33,3,4.53,3.85,2.86,2.93
ENSMUSG00000089982,1,0.96,0,0.99,3.35,0.55,1.38,1.07
ENSMUSG00000025939,13.49,12.54,12.03,11.29,14.65,11.54,9.66,12.31
ENSMUSG00000102457,0.84,1.45,1.6,3.56,4.96,2.6,5.1,1.44
ENSMUSG00000079658,22.65,22.8,40.97,32.41,33.42,31.77,30.87,31.27
ENSMUSG00000097744,0.72,0.34,0,0.71,0,0.89,0.08,0.29
ENSMUSG00000100959,0,0,0,1.46,0,2.83,0,0
ENSMUSG00000025940,10.17,9.48,11.74,12.92,9.05,13.05,7.21,12.19
ENSMUSG00000025779,8.82,2.82,6.88,8.76,4.94,4.06,5.63,3.93
ENSMUSG00000100093,2.39,2.29,0,0.79,0.8,0,0,0
ENSMUSG00000091020,0.27,0,0,0,0,0.15,0,0.57
ENSMUSG00000101640,0,0,0,0,0,1.57,0,0
ENSMUSG00000104133,0,1.16,0,0,0,0,0,0
ENSMUSG00000042686,5,4.31,3.99,5.5,3.83,3.09,3.82,3.9
ENSMUSG00000100110,4.18,5.34,0,0.92,1.87,3.08,0,0
ENSMUSG00000025777,0.58,0.37,0,0.64,0.65,0.18,0.3,0.03
ENSMUSG00000099899,2.47,1.9,0,0,0.33,0.27,0,0.26
ENSMUSG00000100272,0,6.32,0,0,2.66,0,0,0
ENSMUSG00000100398,1.06,2.03,0,0,0,1.76,0,0.57
ENSMUSG00000101589,10.98,6.84,18.32,16.51,12.06,8.08,14.19,19.19
ENSMUSG00000102048,0,0,2.31,0,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0,0,0
ENSMUSG00000067780,27.74,9.55,35.17,34.89,23.2,21.74,30.87,20.89
ENSMUSG00000100053,0.36,0.8,0,0.79,1.04,0.13,0.05,0.63
ENSMUSG00000085125,0.6,0.23,0.1,0.28,0.24,0.63,0,0.1
ENSMUSG00000025776,2.1,2.87,2.12,1.17,0.97,1.1,1.02,1.78
ENSMUSG00000099895,0,0.76,0,1.58,0,0.88,0,0.42
ENSMUSG00000100554,0,0,0,0.24,0,0.2,0,1.15
ENSMUSG00000099473,0,0,0,0,0,0,0,0
ENSMUSG00000099591,1.96,0,0,0.26,0.39,0.65,0.54,0
ENSMUSG00000109887,1.75,0.75,0,0.39,0,0.21,0,0.73
ENSMUSG00000102001,0,0,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,2.33,0,0,0,0
ENSMUSG00000025774,0.73,1.58,0,0.61,0.86,0.1,0.08,0
ENSMUSG00000070977,0,6.56,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0,0,0
ENSMUSG00000067773,1.64,0,0,0.54,0,0,0,0
ENSMUSG00000101685,0.51,0.49,0,1.01,1.36,0.56,0,0
ENSMUSG00000101738,0,0,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,0.36,0,0,0,0
ENSMUSG00000088800,0,6.65,0,0,0,0,0,0
ENSMUSG00000101644,17.86,8.56,0,11.83,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0,0,0
ENSMUSG00000089787,0,1.04,0,0,0.37,0,0,0.58
ENSMUSG00000042596,2.05,2.45,0,1.87,0.34,0.57,1.65,0.41
ENSMUSG00000100720,2.75,7.91,0.52,3.65,1.85,0.51,0,4.41
ENSMUSG00000025927,1.42,1.74,0,0.57,0.74,0.31,0.07,0.21
ENSMUSG00000100538,2.48,11.86,0,0,4.99,4.1,0,1.32
ENSMUSG00000101117,4.24,0,0,2.81,0,0.59,0,0
ENSMUSG00000100204,0.89,1.71,0,1.48,0.3,0.25,0,0.48
ENSMUSG00000084668,0,0,0,5.1,0,0,0,0
ENSMUSG00000102597,0,0.58,0,0.27,0.13,0,0.09,0
ENSMUSG00000043760,1.29,1.74,0,0.76,0.54,0.66,0.05,0.56
ENSMUSG00000104095,0.58,0.55,0,0.67,0.48,0.32,0.4,0.15
ENSMUSG00000089914,1.27,0,0,2.52,0,1.05,0,0.34
ENSMUSG00000090142,0,0,0,0.6,0.61,0,0,0
ENSMUSG00000070175,0,0,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0,0,0
ENSMUSG00000099906,0,0.45,0,0.13,0.06,0.26,0.22,0
ENSMUSG00000065480,0,0,0,0,0,0,0,0
ENSMUSG00000025929,1.28,0,0,1.13,0.29,0,0,0
ENSMUSG00000041872,3.46,2.84,0,2.62,0.5,0.68,0.11,0.79
ENSMUSG00000041859,4,6.26,6.82,4.33,6,6.63,5.7,6.27
ENSMUSG00000099714,0.84,4.04,0,2.51,0.28,4.19,0,0.68
ENSMUSG00000102121,1.2,1.15,0,0.8,0,1.66,0,0
ENSMUSG00000088858,7.58,10.89,0,15.06,0,4.19,0,16.2
ENSMUSG00000097934,0,0,1,0.59,0,0.99,1.64,1.19
ENSMUSG00000025931,21.24,15.98,19.93,9.36,10.9,9.97,9.01,20.85
ENSMUSG00000077314,30.55,10.97,6.44,0,5.13,14.76,3.51,2.04
ENSMUSG00000100929,9.91,3.35,2.29,3.48,0.78,1.61,2.95,7.48
ENSMUSG00000041809,4.76,4.34,5.22,4.35,4.87,4.63,1.46,4.84
ENSMUSG00000041779,21.7,23.74,28.49,23.18,18.46,17.38,20.93,26.41
ENSMUSG00000099971,1.83,1.75,0,0,0,1.52,0.84,1.47
ENSMUSG00000100819,7.01,2.52,3.45,2.32,4.12,3.39,3.22,0.94
ENSMUSG00000025933,5.18,4.26,0.83,0,3.23,3.27,0.17,0.4
ENSMUSG00000102633,1.19,0,0.27,0.32,1.28,1.18,0.22,0.51
ENSMUSG00000025934,1.96,1.76,0.32,0.69,0.54,0.38,0.48,0.31
ENSMUSG00000099343,2.37,2.27,0,0,2.65,0.87,1.09,0.42
ENSMUSG00000096375,8.2,0,0,1.81,0,0,0,0
ENSMUSG00000025936,0.73,1.4,0,0.49,0.25,0.4,0,0.98
ENSMUSG00000093963,1.14,4.37,0,3.77,0,0.63,0,1.22
ENSMUSG00000067750,0.25,0.24,0,0.5,0.51,0.42,0.12,0
ENSMUSG00000086194,1.35,0,0,0.89,0,0,0,0
ENSMUSG00000094436,0,4.2,0,0,0,0,1.01,0
ENSMUSG00000041722,1.29,0,0,0.34,0,0.28,0,0
ENSMUSG00000085507,0,2.74,0,0,0,0,0,0
ENSMUSG00000094926,10.97,0,0,0,0,2.42,0,0
ENSMUSG00000085079,1.12,0,0,0.59,0.3,0,0,0.12
ENSMUSG00000085679,0,0,0,0,3.43,0,0,0
ENSMUSG00000028033,0.91,0.69,0,0.34,0.26,0.65,0.36,0.42
ENSMUSG00000104138,2.15,0.41,0,0.28,0,0.12,0,0.57
ENSMUSG00000082935,0.45,0.43,0,1.47,1.79,1.97,0.2,0.24
ENSMUSG00000103748,0,0.61,0,0.42,0,0.53,0,0.17
ENSMUSG00000097109,0.72,0.46,0,0.95,0.8,0.79,0,0.13
ENSMUSG00000099692,0.91,0.87,0,1.2,1.22,0.5,0,0
ENSMUSG00000100418,2.24,3.22,0,0.74,0,1.85,0,0
ENSMUSG00000041670,1.83,1.5,0.42,1.22,0.23,0.98,0.06,0.29
ENSMUSG00000097642,0,1.19,0,1.65,0.84,0.34,0,0
ENSMUSG00000101468,1.63,1.56,0,1.44,0.73,0,0,0
ENSMUSG00000101227,0.96,0.46,0,0.32,0,0,0.22,0.39
ENSMUSG00000073730,1.4,0.54,0,2.05,0,0.16,0,0
ENSMUSG00000089553,0,0,0,5.48,0,4.57,0,0
ENSMUSG00000102766,0.69,2.65,1.94,2.29,0.93,1.91,0.95,0
ENSMUSG00000065405,7.05,80.98,59.4,4.67,18.93,19.45,6.48,3.76
ENSMUSG00000097970,16.3,9.61,14.09,9.96,23.58,17.31,13.84,16.75
ENSMUSG00000065567,0,0,0,0,0,0,0,0
ENSMUSG00000100775,0,12.43,2.43,2.86,2.91,3.98,0,5.39
ENSMUSG00000101226,1.55,0,0,0,0,0.86,0,0
ENSMUSG00000026158,3.02,2.42,2.32,2.66,2.2,3.17,2.44,1.65
ENSMUSG00000097920,0,0,0,1.34,0,0.28,0,0
ENSMUSG00000099503,3.21,1.23,0,0,0.86,1.42,0.3,1.37
ENSMUSG00000026156,0.24,0,0.23,0.27,0.27,0.36,0.04,0.17
ENSMUSG00000026155,26.16,26,32.17,30.49,27.63,25.65,21.62,27.44
ENSMUSG00000026154,5.15,8.22,6.11,5.31,4.61,6.32,2.37,1.53
ENSMUSG00000102495,0,0,0,0,0,0,0,0
ENSMUSG00000026153,16.73,17.63,19.82,13.43,22,18.62,14.59,16.3
ENSMUSG00000102398,0.54,0.34,1.71,0.83,0.24,0.79,1.23,0.1
ENSMUSG00000097670,0,0,0,0,0,0.64,0,1.54
ENSMUSG00000026147,3.65,1.61,0.5,1.96,3.25,0.82,0.14,0.63
ENSMUSG00000026141,1.96,0.77,0.29,0.91,0.78,0.76,0.27,0.62
ENSMUSG00000077463,7.3,0,0,0,0,4.03,0,0
ENSMUSG00000099997,2.24,0.36,0,0.74,0.25,2.27,0,0.6
ENSMUSG00000100131,4.57,6.56,4.17,3.03,4.99,4.73,8.93,4.27
ENSMUSG00000067736,6.81,1.63,3.83,9.02,5.71,2.82,2.35,2.73
ENSMUSG00000101939,0,0,0.81,1.92,0,2.4,2.67,0.77
ENSMUSG00000101111,3.83,2.45,7.18,6.35,4.29,4.59,7.35,5.8
ENSMUSG00000100862,14.02,19.79,15.76,21.5,12.39,12.63,24.77,11.83
ENSMUSG00000102070,11.02,9.85,5.37,9.24,8.39,7.3,14.86,7.07
ENSMUSG00000101249,7.12,4.87,7.43,11.45,4.78,10.11,11.22,8.69
ENSMUSG00000073725,26.27,19.69,21.7,20.57,20.3,18.86,21.42,20.45
ENSMUSG00000100808,6.05,5.8,0,2,0.51,0.42,0.35,0
ENSMUSG00000100483,0.82,1.97,0,2.45,0,0.45,0,0.44
ENSMUSG00000100450,1.23,1.17,0,0,0,1.02,0,0.98
ENSMUSG00000099392,0,0,0,0,0,0,0,0
ENSMUSG00000033569,0.7,0.93,0.03,0.46,0.11,0.25,0.07,0.06
ENSMUSG00000080849,0,0,0,0,0,0,0,0
ENSMUSG00000104257,0.64,0.62,0,0.43,0,1.25,0,0.86
ENSMUSG00000096866,0,0,0,0,0,0,0,0
ENSMUSG00000102296,0,0,0,0.64,0,0,0,0.26
ENSMUSG00000103209,0.44,0,0,0.1,0,0.08,0,0.32
ENSMUSG00000104027,0.58,0.56,0,0,0.1,0,0.07,0
ENSMUSG00000102407,0.99,0,0,0.13,0.13,0.65,0,0
ENSMUSG00000103214,0.32,0.93,0,0.21,0,0.09,0,0
ENSMUSG00000104100,0.31,0.59,0,0.41,0,0,0,0
ENSMUSG00000084740,9.62,9.21,0,0,0,0,0,0
ENSMUSG00000103889,0.85,0,0,1.24,0,0,0.16,0.18
ENSMUSG00000101301,0.88,2.52,0,0.58,0.59,0,0,0
ENSMUSG00000104221,0.34,0.49,0,0.68,0.8,1.03,0,0
ENSMUSG00000102250,0.5,0.96,0,0.17,0.08,0.14,0,0
ENSMUSG00000102317,1.38,1.32,0,0.67,0.68,0.46,0.17,0.15
ENSMUSG00000103563,1.09,1.57,0,0.36,0,0.3,0.25,0
ENSMUSG00000102465,0.98,0.67,0,1.85,0.94,1.08,0,0.07
ENSMUSG00000102659,1.22,0.13,0,0.72,0,0.22,0.06,0.22
ENSMUSG00000103924,0.44,0.21,0,0.07,0.07,0.12,0.1,0
ENSMUSG00000104132,0.55,0.4,0,0,0.09,0.15,0,0.29
ENSMUSG00000102747,0.6,0,0,0.1,0,0,0,0
ENSMUSG00000102386,2.46,1.88,0,1.63,0.99,4.35,0,0
ENSMUSG00000103004,0,5.81,0,0,1.02,1.67,0,0
ENSMUSG00000104516,0.82,0.39,0,0,0.27,0,0,0
ENSMUSG00000101618,0,0,0,0,0,1.49,0,0
ENSMUSG00000099458,3.07,4.42,0,0,0,0,0,1.64
ENSMUSG00000088111,0,0,0,6.25,3.17,5.21,6.51,2.52
ENSMUSG00000073722,3.82,1.89,0,1.84,0.54,0.9,0.27,0.68
ENSMUSG00000095256,0,0,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,4.03,0,0,0
