,gene_id,gene_name
211,ENSMUSG00000097744,D030040B21Rik
212,ENSMUSG00000100959,Gm7654
213,ENSMUSG00000025940,Tmem70
214,ENSMUSG00000025779,Ly96
215,ENSMUSG00000100093,Gm29649
216,ENSMUSG00000091020,Gm5828
217,ENSMUSG00000101640,Gm28376
218,ENSMUSG00000104133,4921511E07Rik
219,ENSMUSG00000042686,Jph1
220,ENSMUSG00000100110,Gm28783
221,ENSMUSG00000025777,Gdap1
222,ENSMUSG00000099899,Gm28784
223,ENSMUSG00000100272,Gm28785
224,ENSMUSG00000100398,Gm5251
225,ENSMUSG00000101589,Rbm6-ps1
226,ENSMUSG00000102048,Gm6075
227,ENSMUSG00000089534,Gm25166
228,ENSMUSG00000067780,Pi15
229,ENSMUSG00000100053,Gm28154
230,ENSMUSG00000085125,Gm16070
231,ENSMUSG00000025776,Crispld1
232,ENSMUSG00000099895,Gm28153
233,ENSMUSG00000100554,Gm7690
234,ENSMUSG00000099473,Gm18775
235,ENSMUSG00000099591,Gm17969
236,ENSMUSG00000109887,Gm28756
237,ENSMUSG00000102001,Gm28755
238,ENSMUSG00000101717,Gm45784
239,ENSMUSG00000025774,Crisp4
240,ENSMUSG00000070977,Defb44-ps
241,ENSMUSG00000073735,Defb18
242,ENSMUSG00000067773,Defb41
243,ENSMUSG00000101685,Gm17837
244,ENSMUSG00000101738,Gm29006
245,ENSMUSG00000101306,Gm5252
246,ENSMUSG00000088800,Gm24075
247,ENSMUSG00000101644,Gm28343
248,ENSMUSG00000099433,Gm28344
249,ENSMUSG00000089787,Gm15825
250,ENSMUSG00000042596,Tfap2d
251,ENSMUSG00000100720,Gm10075
252,ENSMUSG00000025927,Tfap2b
253,ENSMUSG00000100538,Gm28340
254,ENSMUSG00000101117,Gm28341
255,ENSMUSG00000100204,Gm4849
256,ENSMUSG00000084668,Gm24633
257,ENSMUSG00000102597,Gm38382
258,ENSMUSG00000043760,Pkhd1
259,ENSMUSG00000104095,Gm37315
260,ENSMUSG00000089914,4930486I03Rik
261,ENSMUSG00000090142,Gm15795
262,ENSMUSG00000070175,Gm24162
263,ENSMUSG00000065559,Mir206
264,ENSMUSG00000099906,Gm28653
265,ENSMUSG00000065480,Mir133b
266,ENSMUSG00000025929,Il17a
267,ENSMUSG00000041872,Il17f
268,ENSMUSG00000041859,Mcm3
269,ENSMUSG00000099714,Gm20587
270,ENSMUSG00000102121,Gm28065
271,ENSMUSG00000088858,Gm24723
272,ENSMUSG00000097934,6720483E21Rik
273,ENSMUSG00000025931,Paqr8
274,ENSMUSG00000077314,Gm24171
275,ENSMUSG00000100929,Gm28064
276,ENSMUSG00000041809,Efhc1
277,ENSMUSG00000041779,Tram2
278,ENSMUSG00000099971,Gm28287
279,ENSMUSG00000100819,Gm2693
280,ENSMUSG00000025933,Tmem14a
281,ENSMUSG00000102633,Gm38224
282,ENSMUSG00000025934,Gsta3
283,ENSMUSG00000099343,Gm28836
284,ENSMUSG00000096375,Gm7094
285,ENSMUSG00000025936,Gm4956
286,ENSMUSG00000093963,Gm21909
287,ENSMUSG00000067750,Khdc1a
288,ENSMUSG00000086194,Gm16329
289,ENSMUSG00000094436,Gm16327
290,ENSMUSG00000041722,Khdc1c
291,ENSMUSG00000085507,Gm2709
292,ENSMUSG00000094926,Gm16533
293,ENSMUSG00000085079,Khdc1b
294,ENSMUSG00000085679,Gm16328
295,ENSMUSG00000028033,Kcnq5
296,ENSMUSG00000104138,Gm36949
297,ENSMUSG00000082935,Gm7658
298,ENSMUSG00000103748,Gm38243
299,ENSMUSG00000097109,Gm26580
300,ENSMUSG00000099692,Gm5696
301,ENSMUSG00000100418,Gm28239
302,ENSMUSG00000041670,Rims1
303,ENSMUSG00000097642,Gm26866
304,ENSMUSG00000101468,Gm7761
305,ENSMUSG00000101227,Gm29506
306,ENSMUSG00000073730,4933415F23Rik
307,ENSMUSG00000089553,Gm24176
308,ENSMUSG00000102766,Gm6420
309,ENSMUSG00000065405,Mir30a
310,ENSMUSG00000097970,Gm27028
311,ENSMUSG00000065567,Mir30c-2
312,ENSMUSG00000100775,Gm29107
313,ENSMUSG00000101226,Gm20954
314,ENSMUSG00000026158,Ogfrl1
315,ENSMUSG00000097920,Gm7784
316,ENSMUSG00000099503,Gm28822
317,ENSMUSG00000026156,B3gat2
318,ENSMUSG00000026155,Smap1
319,ENSMUSG00000026154,Sdhaf4
320,ENSMUSG00000102495,Gm26524
321,ENSMUSG00000026153,Fam135a
322,ENSMUSG00000102398,Gm37580
323,ENSMUSG00000097670,Gm26607
324,ENSMUSG00000026147,Col9a1
325,ENSMUSG00000026141,Col19a1
326,ENSMUSG00000077463,Gm26418
327,ENSMUSG00000099997,Tubb4b-ps2
328,ENSMUSG00000100131,Gm28439
329,ENSMUSG00000067736,Gm10222
330,ENSMUSG00000101939,Gm28438
331,ENSMUSG00000101111,Gm28437
332,ENSMUSG00000100862,Gm10925
333,ENSMUSG00000102070,Gm28661
334,ENSMUSG00000101249,Gm29216
