Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
,,,Nin,,,,,,,,,,,,AB041806,,,,,,,,,,,,,,,Ophn1,,Slc41a3,,,
,,,Bid,,,,,,,,,,,,Heatr2,,,,,,,,,,,,,,,Orai1,,Slc43a3,,,
,,,5730528L13Rik,,,,,,,,,,,,Serf2,,,,,,,,,,,,,,,Ormdl3,,Slc45a3,,,
,,,Pitpna,,,,,,,,,,,,Atp8a1,,,,,,,,,,,,,,,Osbpl3,,Slc6a13,,,
,,,Ckap4,,,,,,,,,,,,Vkorc1l1,,,,,,,,,,,,,,,Osgin1,,Slf1,,,
,,,Ppm1g,,,,,,,,,,,,Hist1h2bh,,,,,,,,,,,,,,,Otub2,,Smap2,,,
,,,Cbx4,,,,,,,,,,,,Clec4a4,,,,,,,,,,,,,,,P2rx1,,Smarcc1,,,
,,,Zbtb34,,,,,,,,,,,,BC024814,,,,,,,,,,,,,,,P3h3,,Smc2,,,
,,,Ccnt2,,,,,,,,,,,,1700024G13Rik,,,,,,,,,,,,,,,Pabpc4l,,Smc3,,,
,,,Tyrobp,,,,,,,,,,,,Dkk4,,,,,,,,,,,,,,,Pafah2,,Smc4,,,
,,,Rps28,,,,,,,,,,,,Pdzk1ip1,,,,,,,,,,,,,,,Pam,,Smc6,,,
,,,Utp15,,,,,,,,,,,,Gpr61,,,,,,,,,,,,,,,Paqr7,,Smchd1,,,
,,,Sec24d,,,,,,,,,,,,Hist1h2bm,,,,,,,,,,,,,,,Pard3b,,Smim5,,,
,,,Abcd2,,,,,,,,,,,,Tspyl5,,,,,,,,,,,,,,,Parp12,,Smn1,,,
,,,C230081A13Rik,,,,,,,,,,,,EG665262,,,,,,,,,,,,,,,Parp14,,Snrnp200,,,
,,,Aff1,,,,,,,,,,,,Gja8,,,,,,,,,,,,,,,Parp3,,Snrpb,,,
,,,C1galt1c1,,,,,,,,,,,,Alg13,,,,,,,,,,,,,,,Pbx1,,Snrpd1,,,
,,,Senp1,,,,,,,,,,,,Ccdc157,,,,,,,,,,,,,,,Pbx2,,Snrpd2,,,
,,,Sec16a,,,,,,,,,,,,Slc8a1,,,,,,,,,,,,,,,Pbxip1,,Snrpe,,,
,,,Anln,,,,,,,,,,,,Gpr176,,,,,,,,,,,,,,,Pcgf2,,Snx5,,,
,,,Chfr,,,,,,,,,,,,Pftk2,,,,,,,,,,,,,,,Pclo,,Sos1,,,
,,,Slc7a8,,,,,,,,,,,,Frem1,,,,,,,,,,,,,,,Pcmtd1,,Spc24,,,
,,,Slc16a7,,,,,,,,,,,,6430601O08Rik,,,,,,,,,,,,,,,Pde1b,,Spc25,,,
,,,D030016E14Rik,,,,,,,,,,,,Slc14a2,,,,,,,,,,,,,,,Pde3b,,Spn,,,
,,,Map4k1,,,,,,,,,,,,OTTMUSG00000002043,,,,,,,,,,,,,,,Pde4dip,,Srl,,,
,,,Pofut2,,,,,,,,,,,,Ppp3r1,,,,,,,,,,,,,,,Pde6h,,Srm,,,
,,,Tbk1,,,,,,,,,,,,Bai2,,,,,,,,,,,,,,,Pde9a,,Srrt,,,
,,,Lbp,,,,,,,,,,,,Rbp4,,,,,,,,,,,,,,,Pdgfb,,Srsf2,,,
,,,8430410K20Rik,,,,,,,,,,,,Chrna1,,,,,,,,,,,,,,,Pdgfc,,Srsf3,,,
,,,Bcorl1,,,,,,,,,,,,Alg3,,,,,,,,,,,,,,,Pdk4,,Ssna1,,,
,,,Gtf3c6,,,,,,,,,,,,Cuta,,,,,,,,,,,,,,,Pdzd2,,Ssr1,,,
,,,Tnrc6b,,,,,,,,,,,,OTTMUSG00000004508,,,,,,,,,,,,,,,Pdzk1ip1,,Ssrp1,,,
,,,Cdca8,,,,,,,,,,,,Cenpc1,,,,,,,,,,,,,,,Pear1,,Ssx2ip,,,
,,,Gda,,,,,,,,,,,,Ano1,,,,,,,,,,,,,,,Per1,,St3gal5,,,
,,,Gas5,,,,,,,,,,,,Pax6,,,,,,,,,,,,,,,Pfkfb2,,Stard7,,,
,,,Dhx40,,,,,,,,,,,,Syt16,,,,,,,,,,,,,,,Pfkfb4,,Stat5a,,,
,,,Bub1b,,,,,,,,,,,,OTTMUSG00000007428,,,,,,,,,,,,,,,Pgap1,,Steap3,,,
,,,Fis1,,,,,,,,,,,,Ppia,,,,,,,,,,,,,,,Phactr1,,Stil,,,
,,,Cebpa,,,,,,,,,,,,Med28,,,,,,,,,,,,,,,Phactr2,,Stip1,,,
,,,Grn,,,,,,,,,,,,Prop1,,,,,,,,,,,,,,,Phc3,,Stk16,,,
,,,Cstf1,,,,,,,,,,,,T2,,,,,,,,,,,,,,,Phf21a,,Stmn1,,,
,,,5730419I09Rik,,,,,,,,,,,,Pbx4,,,,,,,,,,,,,,,Phlda2,,Stx11,,,
,,,Sp100,,,,,,,,,,,,Ttc25,,,,,,,,,,,,,,,Pick1,,Stx2,,,
,,,Pcyt1a,,,,,,,,,,,,Cenpe,,,,,,,,,,,,,,,Pigc,,Stx3,,,
,,,Gpx3,,,,,,,,,,,,Shank3,,,,,,,,,,,,,,,Pigp,,Suds3,,,
,,,Mrps15,,,,,,,,,,,,Armc10,,,,,,,,,,,,,,,Pik3cd,,Sumo3,,,
,,,Setdb1,,,,,,,,,,,,F630043A04Rik,,,,,,,,,,,,,,,Pik3ip1,,Supt16,,,
,,,Sec23ip,,,,,,,,,,,,Caskin2,,,,,,,,,,,,,,,Pik3r1,,Suv39h1,,,
,,,Gosr1,,,,,,,,,,,,Slbp,,,,,,,,,,,,,,,Plaat3,,Suz12,,,
,,,,,,,,,,,,,,,Fadd,,,,,,,,,,,,,,,Plcb2,,Svil,,,
,,,,,,,,,,,,,,,Pltp,,,,,,,,,,,,,,,Plcl1,,Syce2,,,
,,,,,,,,,,,,,,,Zfp474,,,,,,,,,,,,,,,Plekha2,,Syk,,,
,,,,,,,,,,,,,,,Mal2,,,,,,,,,,,,,,,Plekhg6,,Syncrip,,,
,,,,,,,,,,,,,,,Spon1,,,,,,,,,,,,,,,Plgrkt,,Tacc3,,,
,,,,,,,,,,,,,,,Adra2a,,,,,,,,,,,,,,,Plin3,,Taldo1,,,
,,,,,,,,,,,,,,,Btg4,,,,,,,,,,,,,,,Plpp2,,Tango2,,,
,,,,,,,,,,,,,,,EG621501,,,,,,,,,,,,,,,Pls3,,Taok3,,,
,,,,,,,,,,,,,,,4933402J07Rik,,,,,,,,,,,,,,,Plscr2,,Tardbp,,,
,,,,,,,,,,,,,,,L3mbtl4,,,,,,,,,,,,,,,Plscr4,,Tbc1d10b,,,
,,,,,,,,,,,,,,,Asap1,,,,,,,,,,,,,,,Plxdc2,,Tbcb,,,
,,,,,,,,,,,,,,,Eapa2,,,,,,,,,,,,,,,Plxna3,,Tcerg1,,,
,,,,,,,,,,,,,,,Cdc25a,,,,,,,,,,,,,,,Plxna4,,Tdp2,,,
,,,,,,,,,,,,,,,Impdh2,,,,,,,,,,,,,,,Plxnc1,,Tek,,,
,,,,,,,,,,,,,,,LOC674846,,,,,,,,,,,,,,,Pm20d2,,Tent5a,,,
,,,,,,,,,,,,,,,ENSMUSG00000056771,,,,,,,,,,,,,,,Pmepa1,,Tex30,,,
,,,,,,,,,,,,,,,1600027N09Rik,,,,,,,,,,,,,,,Pml,,Tex9,,,
,,,,,,,,,,,,,,,Rad54l,,,,,,,,,,,,,,,Pnck,,Tfdp1,,,
,,,,,,,,,,,,,,,Gorasp2,,,,,,,,,,,,,,,Pnisr,,Thbd,,,
,,,,,,,,,,,,,,,Cep170,,,,,,,,,,,,,,,Podxl,,Timeless,,,
,,,,,,,,,,,,,,,Rbm10,,,,,,,,,,,,,,,Pomgnt2,,Timm13,,,
,,,,,,,,,,,,,,,Nhp2l1,,,,,,,,,,,,,,,Por,,Timm50,,,
,,,,,,,,,,,,,,,Ppan,,,,,,,,,,,,,,,Porcn,,Tipin,,,
,,,,,,,,,,,,,,,EG432950,,,,,,,,,,,,,,,Pou6f1,,Tk1,,,
,,,,,,,,,,,,,,,Gucy1b2,,,,,,,,,,,,,,,Ppic,,Tln1,,,
,,,,,,,,,,,,,,,Magmas,,,,,,,,,,,,,,,Ppp1r15a,,Tm7sf3,,,
,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,Ppp1r16b,,Tmem14c,,,
,,,,,,,,,,,,,,,Iqwd1,,,,,,,,,,,,,,,Ppp1r26,,Tmem208,,,
,,,,,,,,,,,,,,,Nt5c2,,,,,,,,,,,,,,,Ppp1r9a,,Tmem258,,,
,,,,,,,,,,,,,,,Mlph,,,,,,,,,,,,,,,Ppp2r2b,,Tmem69,,,
,,,,,,,,,,,,,,,ENSMUSG00000070342,,,,,,,,,,,,,,,Ppp3r1,,Tmem97,,,
,,,,,,,,,,,,,,,Baiap2l2,,,,,,,,,,,,,,,Pptc7,,Tmpo,,,
,,,,,,,,,,,,,,,Awat1,,,,,,,,,,,,,,,Prdm16,,Tnfaip2,,,
,,,,,,,,,,,,,,,Ogn,,,,,,,,,,,,,,,Prdm16os,,Tnik,,,
,,,,,,,,,,,,,,,Lman2,,,,,,,,,,,,,,,Prex2,,Tnk2,,,
,,,,,,,,,,,,,,,Mrps25,,,,,,,,,,,,,,,Prkag2,,Top2a,,,
,,,,,,,,,,,,,,,Aqp8,,,,,,,,,,,,,,,Prkcb,,Tpcn1,,,
,,,,,,,,,,,,,,,EG668565,,,,,,,,,,,,,,,Prkce,,Tpm1,,,
,,,,,,,,,,,,,,,Zfp282,,,,,,,,,,,,,,,Prkch,,Tpst2,,,
,,,,,,,,,,,,,,,EG244229,,,,,,,,,,,,,,,Prkd1,,Tpx2,,,
,,,,,,,,,,,,,,,Six6,,,,,,,,,,,,,,,Prkd2,,Traip,,,
,,,,,,,,,,,,,,,Nucb1,,,,,,,,,,,,,,,Prkg1,,Treml1,,,
,,,,,,,,,,,,,,,Ttc29,,,,,,,,,,,,,,,Prmt6,,Trib2,,,
,,,,,,,,,,,,,,,Cdx1,,,,,,,,,,,,,,,Prnp,,Trim37,,,
,,,,,,,,,,,,,,,Spon2,,,,,,,,,,,,,,,Procr,,Trir,,,
,,,,,,,,,,,,,,,Ngly1,,,,,,,,,,,,,,,Prodh,,Troap,,,
,,,,,,,,,,,,,,,Polr3h,,,,,,,,,,,,,,,Prom2,,Tspan32,,,
,,,,,,,,,,,,,,,Nox3,,,,,,,,,,,,,,,Pros1,,Ttf2,,,
,,,,,,,,,,,,,,,ENSMUSG00000058754,,,,,,,,,,,,,,,Prpf39,,Ttk,,,
,,,,,,,,,,,,,,,EG625464,,,,,,,,,,,,,,,Prpf6,,Tuba4a,,,
,,,,,,,,,,,,,,,Zfp59,,,,,,,,,,,,,,,Prr13,,Tubb4b,,,
,,,,,,,,,,,,,,,Acyp1,,,,,,,,,,,,,,,Prr3,,Tubb5,,,
,,,,,,,,,,,,,,,Taok2,,,,,,,,,,,,,,,Prrg2,,Tube1,,,
,,,,,,,,,,,,,,,Prl2b1,,,,,,,,,,,,,,,Prune1,,Tyms,,,
,,,,,,,,,,,,,,,Rprl1,,,,,,,,,,,,,,,Prune2,,Tysnd1,,,
,,,,,,,,,,,,,,,Aldh3a1,,,,,,,,,,,,,,,Prxl2a,,U2af1,,,
,,,,,,,,,,,,,,,Deb1,,,,,,,,,,,,,,,Ptger4,,U2af2,,,
,,,,,,,,,,,,,,,1700020A23Rik,,,,,,,,,,,,,,,Ptges,,Ubald2,,,
,,,,,,,,,,,,,,,Adrb1,,,,,,,,,,,,,,,Ptgfrn,,Ubap2,,,
,,,,,,,,,,,,,,,Hist1h2ab,,,,,,,,,,,,,,,Ptk2,,Ubash3b,,,
,,,,,,,,,,,,,,,Sox17,,,,,,,,,,,,,,,Ptov1,,Ube2c,,,
,,,,,,,,,,,,,,,Ccr8,,,,,,,,,,,,,,,Ptpn18,,Ube2k,,,
,,,,,,,,,,,,,,,Enam,,,,,,,,,,,,,,,Ptprcap,,Ube2l3,,,
,,,,,,,,,,,,,,,OTTMUSG00000007322,,,,,,,,,,,,,,,Pttg1ip,,Ube2m,,,
,,,,,,,,,,,,,,,F830104G03Rik,,,,,,,,,,,,,,,Pura,,Ube2t,,,
,,,,,,,,,,,,,,,Mrps24,,,,,,,,,,,,,,,Pygl,,Ubl5,,,
,,,,,,,,,,,,,,,Pdzrn3,,,,,,,,,,,,,,,Pygm,,Ubn1,,,
,,,,,,,,,,,,,,,Iqcf1,,,,,,,,,,,,,,,Rab11fip1,,Ubr7,,,
,,,,,,,,,,,,,,,Rims2,,,,,,,,,,,,,,,Rab11fip2,,Uchl5,,,
,,,,,,,,,,,,,,,Vamp5,,,,,,,,,,,,,,,Rab11fip5,,Ucp2,,,
,,,,,,,,,,,,,,,ENSMUSG00000048936,,,,,,,,,,,,,,,Rab32,,Ufsp1,,,
,,,,,,,,,,,,,,,Itga10,,,,,,,,,,,,,,,Rab38,,Umps,,,
,,,,,,,,,,,,,,,Olfr877,,,,,,,,,,,,,,,Rab5b,,Unc119,,,
,,,,,,,,,,,,,,,Gm1968,,,,,,,,,,,,,,,Rab6b,,Ung,,,
,,,,,,,,,,,,,,,Vcpip1,,,,,,,,,,,,,,,Rai14,,Upf3a,,,
,,,,,,,,,,,,,,,Trpa1,,,,,,,,,,,,,,,Ralgds,,Uqcc2,,,
,,,,,,,,,,,,,,,Cmas,,,,,,,,,,,,,,,Rapgef3,,Uqcr10,,,
,,,,,,,,,,,,,,,Kif22,,,,,,,,,,,,,,,Rapgef4,,Uqcrc1,,,
,,,,,,,,,,,,,,,Cst9,,,,,,,,,,,,,,,Rarb,,Uqcrfs1,,,
,,,,,,,,,,,,,,,Olfr170,,,,,,,,,,,,,,,Rb1cc1,,Uqcrq,,,
,,,,,,,,,,,,,,,Cyp2c70,,,,,,,,,,,,,,,Rbbp9,,Urgcp,,,
,,,,,,,,,,,,,,,Trappc5,,,,,,,,,,,,,,,Rbfox2,,Urod,,,
,,,,,,,,,,,,,,,Cenpq,,,,,,,,,,,,,,,Rbm38,,Usp1,,,
,,,,,,,,,,,,,,,Vps29,,,,,,,,,,,,,,,Rbm5,,Usp24,,,
,,,,,,,,,,,,,,,Prph,,,,,,,,,,,,,,,Rbms2,,Usp40,,,
,,,,,,,,,,,,,,,Abcg5,,,,,,,,,,,,,,,Rbms3,,Vamp8,,,
,,,,,,,,,,,,,,,Pcbp3,,,,,,,,,,,,,,,Rbp1,,Vcam1,,,
,,,,,,,,,,,,,,,Lrrc24,,,,,,,,,,,,,,,Rbpms2,,Vdac1,,,
,,,,,,,,,,,,,,,OTTMUSG00000011546,,,,,,,,,,,,,,,Rcor2,,Vdac3,,,
,,,,,,,,,,,,,,,Col19a1,,,,,,,,,,,,,,,Rere,,Vkorc1,,,
,,,,,,,,,,,,,,,EG384482,,,,,,,,,,,,,,,Rgmb,,Vrk1,,,
,,,,,,,,,,,,,,,Ccrn4l,,,,,,,,,,,,,,,Rgs1,,Vti1b,,,
,,,,,,,,,,,,,,,Cyb5r3,,,,,,,,,,,,,,,Rgs11,,Wdfy3,,,
,,,,,,,,,,,,,,,Galp,,,,,,,,,,,,,,,Rgs7bp,,Wdhd1,,,
,,,,,,,,,,,,,,,Ndc80,,,,,,,,,,,,,,,Rhbdd2,,Wdr76,,,
,,,,,,,,,,,,,,,Aoc3,,,,,,,,,,,,,,,Rhbdf1,,Ybx3,,,
,,,,,,,,,,,,,,,Gjc2,,,,,,,,,,,,,,,Rhob,,Ywhae,,,
,,,,,,,,,,,,,,,Kcns2,,,,,,,,,,,,,,,Rhof,,Ywhag,,,
,,,,,,,,,,,,,,,Ryr3,,,,,,,,,,,,,,,Rhoj,,Ywhah,,,
,,,,,,,,,,,,,,,Trp53i13,,,,,,,,,,,,,,,Rhot2,,Zbtb3,,,
,,,,,,,,,,,,,,,Trmt6,,,,,,,,,,,,,,,Rictor,,Zc3h15,,,
,,,,,,,,,,,,,,,Hkdc1,,,,,,,,,,,,,,,Rida,,Zeb2,,,
,,,,,,,,,,,,,,,Foxn1,,,,,,,,,,,,,,,Rilp,,Zfand2b,,,
,,,,,,,,,,,,,,,Sox2,,,,,,,,,,,,,,,Rin2,,Zfp101,,,
,,,,,,,,,,,,,,,EG667193,,,,,,,,,,,,,,,Ripply3,,Zfp111,,,
,,,,,,,,,,,,,,,Hist1h1t,,,,,,,,,,,,,,,Rita1,,Zfp143,,,
,,,,,,,,,,,,,,,Carkd,,,,,,,,,,,,,,,Rnasel,,Zfp36l1,,,
,,,,,,,,,,,,,,,Arntl2,,,,,,,,,,,,,,,Rnf14,,Zfp385a,,,
,,,,,,,,,,,,,,,Aldh1a1,,,,,,,,,,,,,,,Rnf208,,Zfp518a,,,
,,,,,,,,,,,,,,,1190005I06Rik,,,,,,,,,,,,,,,Rnf24,,Zfpm1,,,
,,,,,,,,,,,,,,,Csda,,,,,,,,,,,,,,,Ro60,,Zgrf1,,,
,,,,,,,,,,,,,,,Olfr550,,,,,,,,,,,,,,,Robo4,,Zranb2,,,
,,,,,,,,,,,,,,,Ddx23,,,,,,,,,,,,,,,Rock2,,Zwilch,,,
,,,,,,,,,,,,,,,Strc,,,,,,,,,,,,,,,Rora,,Zyx,,,
,,,,,,,,,,,,,,,Itfg2,,,,,,,,,,,,,,,Rorb,,,,,
,,,,,,,,,,,,,,,Abca6,,,,,,,,,,,,,,,Rorc,,,,,
,,,,,,,,,,,,,,,ENSMUSG00000074911,,,,,,,,,,,,,,,Rpl21,,,,,
,,,,,,,,,,,,,,,EG434858,,,,,,,,,,,,,,,Rpl26,,,,,
,,,,,,,,,,,,,,,Mmp28,,,,,,,,,,,,,,,Rpl37,,,,,
,,,,,,,,,,,,,,,EG626952,,,,,,,,,,,,,,,Rplp1,,,,,
,,,,,,,,,,,,,,,EG435640,,,,,,,,,,,,,,,Rps10,,,,,
,,,,,,,,,,,,,,,Cyp4f39,,,,,,,,,,,,,,,Rps21,,,,,
,,,,,,,,,,,,,,,EG624662,,,,,,,,,,,,,,,Rps6ka6,,,,,
,,,,,,,,,,,,,,,Gmeb2,,,,,,,,,,,,,,,Rraga,,,,,
,,,,,,,,,,,,,,,Haus4,,,,,,,,,,,,,,,Rsad2,,,,,
,,,,,,,,,,,,,,,Gm705,,,,,,,,,,,,,,,Rsbn1l,,,,,
,,,,,,,,,,,,,,,Stxbp5,,,,,,,,,,,,,,,Rtkn,,,,,
,,,,,,,,,,,,,,,Chaf1a,,,,,,,,,,,,,,,Rtl5,,,,,
,,,,,,,,,,,,,,,M5C1000I18Rik,,,,,,,,,,,,,,,Rufy2,,,,,
,,,,,,,,,,,,,,,Aco2,,,,,,,,,,,,,,,Runx1t1,,,,,
,,,,,,,,,,,,,,,Cidec,,,,,,,,,,,,,,,Rwdd3,,,,,
,,,,,,,,,,,,,,,Nxph4,,,,,,,,,,,,,,,Rxra,,,,,
,,,,,,,,,,,,,,,4930512B01Rik,,,,,,,,,,,,,,,Ryk,,,,,
,,,,,,,,,,,,,,,Ddx55,,,,,,,,,,,,,,,S100a13,,,,,
,,,,,,,,,,,,,,,Olfr1320,,,,,,,,,,,,,,,S1pr1,,,,,
,,,,,,,,,,,,,,,V1rc1,,,,,,,,,,,,,,,S1pr4,,,,,
,,,,,,,,,,,,,,,Ptpn5,,,,,,,,,,,,,,,Sall2,,,,,
,,,,,,,,,,,,,,,Trmt61a,,,,,,,,,,,,,,,Samhd1,,,,,
,,,,,,,,,,,,,,,EG667519,,,,,,,,,,,,,,,Saraf,,,,,
,,,,,,,,,,,,,,,Kctd5,,,,,,,,,,,,,,,Sash1,,,,,
,,,,,,,,,,,,,,,6430548M08Rik,,,,,,,,,,,,,,,Sat1,,,,,
,,,,,,,,,,,,,,,Olfr714  // Olfr714,,,,,,,,,,,,,,,Sbf2,,,,,
,,,,,,,,,,,,,,,Cnih2,,,,,,,,,,,,,,,Scamp1,,,,,
,,,,,,,,,,,,,,,Bet1l,,,,,,,,,,,,,,,Scarf1,,,,,
,,,,,,,,,,,,,,,Dnajc9,,,,,,,,,,,,,,,Scfd2,,,,,
,,,,,,,,,,,,,,,Tm4sf19,,,,,,,,,,,,,,,Scn2a,,,,,
,,,,,,,,,,,,,,,Fermt3,,,,,,,,,,,,,,,Scrn1,,,,,
,,,,,,,,,,,,,,,Col24a1,,,,,,,,,,,,,,,Sdc2,,,,,
,,,,,,,,,,,,,,,Rpp30,,,,,,,,,,,,,,,Sdcbp,,,,,
,,,,,,,,,,,,,,,Hist1h3d,,,,,,,,,,,,,,,Sec14l1,,,,,
,,,,,,,,,,,,,,,Rpa2,,,,,,,,,,,,,,,Sel1l,,,,,
,,,,,,,,,,,,,,,G2e3,,,,,,,,,,,,,,,Selenbp1,,,,,
,,,,,,,,,,,,,,,Marveld3,,,,,,,,,,,,,,,Sema4b,,,,,
,,,,,,,,,,,,,,,Speer4f,,,,,,,,,,,,,,,Sema7a,,,,,
,,,,,,,,,,,,,,,Chrng,,,,,,,,,,,,,,,Serpina3f,,,,,
,,,,,,,,,,,,,,,Cntnap4,,,,,,,,,,,,,,,Serpinb6a,,,,,
,,,,,,,,,,,,,,,Odf3l1,,,,,,,,,,,,,,,Serpinb8,,,,,
,,,,,,,,,,,,,,,Hsd17b6,,,,,,,,,,,,,,,Serpinb9,,,,,
,,,,,,,,,,,,,,,Dctpp1,,,,,,,,,,,,,,,Sertad1,,,,,
,,,,,,,,,,,,,,,Calcr,,,,,,,,,,,,,,,Sertad2,,,,,
,,,,,,,,,,,,,,,EG546638,,,,,,,,,,,,,,,Setbp1,,,,,
,,,,,,,,,,,,,,,Padi3,,,,,,,,,,,,,,,Sfi1,,,,,
,,,,,,,,,,,,,,,AI747448,,,,,,,,,,,,,,,Sfmbt2,,,,,
,,,,,,,,,,,,,,,ENSMUSG00000071302,,,,,,,,,,,,,,,Sfrp1,,,,,
,,,,,,,,,,,,,,,Crlf2,,,,,,,,,,,,,,,Sfrp2,,,,,
,,,,,,,,,,,,,,,1110013L07Rik,,,,,,,,,,,,,,,Sft2d2,,,,,
,,,,,,,,,,,,,,,Tom1l1,,,,,,,,,,,,,,,Sgms1,,,,,
,,,,,,,,,,,,,,,Kalrn,,,,,,,,,,,,,,,Sgsm1,,,,,
,,,,,,,,,,,,,,,Pctk1,,,,,,,,,,,,,,,Sh3bp5,,,,,
,,,,,,,,,,,,,,,Smok3b,,,,,,,,,,,,,,,Sh3d21,,,,,
,,,,,,,,,,,,,,,Olfr414,,,,,,,,,,,,,,,Sh3gl3,,,,,
,,,,,,,,,,,,,,,EG653016,,,,,,,,,,,,,,,Sh3pxd2b,,,,,
,,,,,,,,,,,,,,,Thsd4,,,,,,,,,,,,,,,Shfl,,,,,
,,,,,,,,,,,,,,,Serpina1e,,,,,,,,,,,,,,,Shisa9,,,,,
,,,,,,,,,,,,,,,B930078G14Rik,,,,,,,,,,,,,,,Shprh,,,,,
,,,,,,,,,,,,,,,Olfr1419,,,,,,,,,,,,,,,Shroom2,,,,,
,,,,,,,,,,,,,,,Mcm10,,,,,,,,,,,,,,,Shroom3,,,,,
,,,,,,,,,,,,,,,Ndufb2,,,,,,,,,,,,,,,Shtn1,,,,,
,,,,,,,,,,,,,,,Olfr1328,,,,,,,,,,,,,,,Sipa1l3,,,,,
,,,,,,,,,,,,,,,OTTMUSG00000007808,,,,,,,,,,,,,,,Ski,,,,,
,,,,,,,,,,,,,,,Onecut2,,,,,,,,,,,,,,,Skil,,,,,
,,,,,,,,,,,,,,,Fbxw12,,,,,,,,,,,,,,,Skint3,,,,,
,,,,,,,,,,,,,,,E230019M04Rik,,,,,,,,,,,,,,,Sla2,,,,,
,,,,,,,,,,,,,,,Psph,,,,,,,,,,,,,,,Slamf1,,,,,
,,,,,,,,,,,,,,,4930408F14Rik  // 4930408F14Rik,,,,,,,,,,,,,,,Slamf8,,,,,
,,,,,,,,,,,,,,,Chrdl2,,,,,,,,,,,,,,,Slc12a2,,,,,
,,,,,,,,,,,,,,,Kcp,,,,,,,,,,,,,,,Slc16a2,,,,,
,,,,,,,,,,,,,,,Cml4,,,,,,,,,,,,,,,Slc17a8,,,,,
,,,,,,,,,,,,,,,Olfr570,,,,,,,,,,,,,,,Slc18a2,,,,,
,,,,,,,,,,,,,,,Prss34,,,,,,,,,,,,,,,Slc22a17,,,,,
,,,,,,,,,,,,,,,LOC236598,,,,,,,,,,,,,,,Slc25a44,,,,,
,,,,,,,,,,,,,,,Olfr661,,,,,,,,,,,,,,,Slc25a45,,,,,
,,,,,,,,,,,,,,,2410080I02Rik,,,,,,,,,,,,,,,Slc2a3,,,,,
,,,,,,,,,,,,,,,OTTMUSG00000011061,,,,,,,,,,,,,,,Slc30a4,,,,,
,,,,,,,,,,,,,,,Zfp511,,,,,,,,,,,,,,,Slc35f5,,,,,
,,,,,,,,,,,,,,,H1fx,,,,,,,,,,,,,,,Slc37a1,,,,,
,,,,,,,,,,,,,,,Olfr381,,,,,,,,,,,,,,,Slc39a13,,,,,
,,,,,,,,,,,,,,,AU021092,,,,,,,,,,,,,,,Slc48a1,,,,,
,,,,,,,,,,,,,,,Pnpla6,,,,,,,,,,,,,,,Slc6a15,,,,,
,,,,,,,,,,,,,,,Emd,,,,,,,,,,,,,,,Slc7a11,,,,,
,,,,,,,,,,,,,,,Defb45,,,,,,,,,,,,,,,Slc7a4,,,,,
,,,,,,,,,,,,,,,Lhfp,,,,,,,,,,,,,,,Slfn2,,,,,
,,,,,,,,,,,,,,,Optn,,,,,,,,,,,,,,,Slfn5,,,,,
,,,,,,,,,,,,,,,EG667078,,,,,,,,,,,,,,,Slu7,,,,,
,,,,,,,,,,,,,,,Clec2g,,,,,,,,,,,,,,,Smagp,,,,,
,,,,,,,,,,,,,,,Foxo4,,,,,,,,,,,,,,,Smarca2,,,,,
,,,,,,,,,,,,,,,Ctnnb1,,,,,,,,,,,,,,,Smim6,,,,,
,,,,,,,,,,,,,,,Gap43,,,,,,,,,,,,,,,Smpdl3a,,,,,
,,,,,,,,,,,,,,,Mcm3,,,,,,,,,,,,,,,Smpdl3b,,,,,
,,,,,,,,,,,,,,,Gstm5,,,,,,,,,,,,,,,Smtnl1,,,,,
,,,,,,,,,,,,,,,Olfr531,,,,,,,,,,,,,,,Sncaip,,,,,
,,,,,,,,,,,,,,,9030224M15Rik,,,,,,,,,,,,,,,Snhg12,,,,,
,,,,,,,,,,,,,,,Olfr1359,,,,,,,,,,,,,,,Snhg8,,,,,
,,,,,,,,,,,,,,,Rspo1,,,,,,,,,,,,,,,Snx1,,,,,
,,,,,,,,,,,,,,,Aspscr1,,,,,,,,,,,,,,,Snx24,,,,,
,,,,,,,,,,,,,,,4933416E03Rik,,,,,,,,,,,,,,,Socs1,,,,,
,,,,,,,,,,,,,,,Car2,,,,,,,,,,,,,,,Socs2,,,,,
,,,,,,,,,,,,,,,Fpr-rs6,,,,,,,,,,,,,,,Socs6,,,,,
,,,,,,,,,,,,,,,Hdac10,,,,,,,,,,,,,,,Socs7,,,,,
,,,,,,,,,,,,,,,Vil1,,,,,,,,,,,,,,,Soga1,,,,,
