Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
,Oat,,Tnpo1,Hif1a,,,,,,,,,,Adam11,Aqp1,,,,,,,Bub1,,,,,,,,Gbp8,,Jpt2,,Parp1,
,Tmem164,,Armcx2,Maml1,,,,,,,,,,Mitf,I0C0044D17Rik,,,,,,,Cenpm,,,,,,,,Gcnt1,,Kcnc1,,Parp8,
,Phf23,,Ptger3,Zfyve1,,,,,,,,,,Itgax,Cog8,,,,,,,Magoh,,,,,,,,Gda,,Kcnn4,,Parvg,
,Pgm1,,Trps1,Chfr,,,,,,,,,,Sh2d1a,Sohlh2,,,,,,,Cops2,,,,,,,,Gfpt1,,Kdm2b,,Pdgfrb,
,Zfp143,,Eed,Cobll1,,,,,,,,,,Lrrc1,Tek,,,,,,,Senp1,,,,,,,,Gfpt2,,Kif11,,Pdk1,
,Ptbp1,,2810403A07Rik,Dhrs1,,,,,,,,,,Mboat4,Slitrk4,,,,,,,Stmn1,,,,,,,,Ggact,,Kif14,,Pdzd4,
,Map4k5,,Whsc1,Diap3,,,,,,,,,,Jam3,Fshr,,,,,,,Fam162a,,,,,,,,Ggnbp1,,Kif15,,Peak1,
,Slc16a1,,Zhx1,Slc35d3,,,,,,,,,,Syde1,Cst13,,,,,,,Dut,,,,,,,,Ghdc,,Kif18a,,Pecam1,
,Prkag1,,Suclg1,Cacna2d4,,,,,,,,,,Ccnjl,EG667350,,,,,,,Ube2c,,,,,,,,Ghr,,Kif18b,,Peli2,
,Slc29a1,,1190005F20Rik,Rbm6,,,,,,,,,,Nr1d2,Mycn,,,,,,,Ctla2a,,,,,,,,Gigyf1,,Kif1b,,Pgap3,
,Sgpp1,,Tut1,Tgoln2,,,,,,,,,,1700109H08Rik,Myo5b,,,,,,,Tex261,,,,,,,,Gimap1,,Kif20b,,Pgm2l1,
,Acin1,,Mett10d,Rcbtb1,,,,,,,,,,Stc2,EG624367,,,,,,,2810417H13Rik,,,,,,,,Gimap5,,Kif22,,Pgr,
,Ahctf1,,Tpr,Tlk2,,,,,,,,,,Appl2,Car1,,,,,,,Hnrnpc,,,,,,,,Gimap6,,Kif2c,,Phf11b,
,Prpf38a,,Atrnl1,Sp100,,,,,,,,,,Slc6a18,Med16,,,,,,,Cuta,,,,,,,,Gimap8,,Kif5b,,Phf14,
,Ythdc1,,Chaf1b,Sp3,,,,,,,,,,Klhdc9,Skap1,,,,,,,Tbrg4,,,,,,,,Gkap1,,Klhl12,,Phgdh,
,Hdgfrp2,,Heatr3,Ctsb,,,,,,,,,,Nim1k,Ttbk1,,,,,,,Cdca8,,,,,,,,Gkn3,,Klhl22,,Pigx,
,Pacsin2,,Atp6ap1,,,,,,,,,,,Hmga2,Hgfac,,,,,,,Bub1b,,,,,,,,Glipr1l1,,Knl1,,Pip4k2a,
,Clint1,,Smu1,,,,,,,,,,,Zfp133-ps,6430531B16Rik,,,,,,,Mif,,,,,,,,Glis2,,Knstrn,,Pitpna,
,Eif3c,,Emp3,,,,,,,,,,,Slc6a8,Prl2c5,,,,,,,Atp5g3,,,,,,,,Glt8d1,,Kntc1,,Pkib,
,Zfp646,,Pank1,,,,,,,,,,,Wdr19,Ficd,,,,,,,Crip1,,,,,,,,Gm4070,,Kpna1,,Plcg2,
,Fech,,Rab22a,,,,,,,,,,,Ptpn21,ENSMUSG00000063025,,,,,,,Srsf10,,,,,,,,Gm45837,,Kpna2,,Plekha6,
,Tal1,,H2afy,,,,,,,,,,,Itm2a,EG229879  // EG229879,,,,,,,,,,,,,,,Gm4951,,Larp7,,Plxnd1,
,Taf1,,Numb,,,,,,,,,,,Abcb1b,Cxx1b,,,,,,,,,,,,,,,Gm973,,Lbr,,Pou2f2,
,Dtymk,,Nt5c,,,,,,,,,,,Usp17la,Ush1c,,,,,,,,,,,,,,,Gnai1,,Ldha,,Ppargc1a,
,Tm7sf3,,Mrpl33,,,,,,,,,,,P2rx1,6330407J23Rik,,,,,,,,,,,,,,,Gnal,,Lgals9,,Ppp1r18,
,Ggnbp2,,Men1,,,,,,,,,,,Zfp383,ENSMUSG00000074413,,,,,,,,,,,,,,,Gnb5,,Lhfpl2,,Ppp3ca,
,Ddx6,,Hspa5,,,,,,,,,,,Pld6,EG383815,,,,,,,,,,,,,,,Gng11,,Lifr,,Prepl,
,Cxxc1,,Grlf1,,,,,,,,,,,Drc7,Glb1l,,,,,,,,,,,,,,,Gns,,Lig1,,Prkd3,
,Tnfaip2,,Tec,,,,,,,,,,,Rsl1,Adk,,,,,,,,,,,,,,,Gpr157,,Lim2,,Prpf40a,
,Atpif1,,Helb,,,,,,,,,,,Bcl9l,AY702102,,,,,,,,,,,,,,,Gprasp1,,Lims1,,Prps2,
,Bckdhb,,Ring1,,,,,,,,,,,Nfatc2,Itga1,,,,,,,,,,,,,,,Gprasp2,,Lmf2,,Prss57,
,Mars,,Gpi1,,,,,,,,,,,Bex1,Mum1,,,,,,,,,,,,,,,Grasp,,Lmnb1,,Psma4,
,Mapk1,,Brd1,,,,,,,,,,,Ranbp17,Uqcr,,,,,,,,,,,,,,,Grb10,,Lmnb2,,Pstpip1,
,Txnl4b,,Acox3,,,,,,,,,,,Sdr42e1,Agrn,,,,,,,,,,,,,,,Grhpr,,Lrrc40,,Ptger2,
,Hspa9,,Rcc1,,,,,,,,,,,Prkcdbp,Rcor3,,,,,,,,,,,,,,,Grik5,,Lrrc41,,Ptp4a3,
,Plxnc1,,Prep,,,,,,,,,,,Copz2,C030003D03Rik,,,,,,,,,,,,,,,Grina,,Lrrc59,,Rab36,
